Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Deposit,"Dec. 12, 2014, 07:12 PM",Main Account,100000.00 USD,,,100.00 USD,
Market,"Dec. 15, 2014, 11:07 PM",Main Account,50.00000000 BTC,17425.00 USD,348.50 USD,87.13 USD,Buy
Market,"Dec. 16, 2014, 09:09 AM",Main Account,23.38610465 BTC,7881.12 USD,337.00 USD,28.38 USD,Buy
Market,"Dec. 16, 2014, 09:09 AM",Main Account,1.61389535 BTC,543.88 USD,337.00 USD,1.75 USD,Buy
Market,"Dec. 17, 2014, 05:05 PM",Main Account,25.00000000 BTC,8000.00 USD,320.00 USD,25.60 USD,Buy
Market,"Dec. 17, 2014, 05:05 PM",Main Account,25.00000000 BTC,7987.50 USD,319.50 USD,25.56 USD,Buy
Market,"Jan. 04, 2015, 07:23 PM",Main Account,0.80980369 BTC,217.57 USD,268.67 USD,0.66 USD,Buy
Market,"Jan. 04, 2015, 07:23 PM",Main Account,0.53200000 BTC,142.93 USD,268.67 USD,0.43 USD,Buy
Market,"Jan. 04, 2015, 07:23 PM",Main Account,0.26100000 BTC,70.12 USD,268.67 USD,0.22 USD,Buy
Market,"Jan. 04, 2015, 07:23 PM",Main Account,0.37223153 BTC,100.01 USD,268.67 USD,0.31 USD,Buy
Market,"Jan. 04, 2015, 07:23 PM",Main Account,1.79400000 BTC,481.99 USD,268.67 USD,1.45 USD,Buy
Market,"Jan. 04, 2015, 07:23 PM",Main Account,0.05000000 BTC,13.43 USD,268.67 USD,0.05 USD,Buy
Market,"Jan. 04, 2015, 07:23 PM",Main Account,0.08543942 BTC,22.96 USD,268.67 USD,0.07 USD,Buy
Market,"Jan. 04, 2015, 07:24 PM",Main Account,0.05000000 BTC,13.43 USD,268.67 USD,0.05 USD,Buy
Market,"Jan. 04, 2015, 07:24 PM",Main Account,0.05000000 BTC,13.43 USD,268.67 USD,0.05 USD,Buy
Market,"Jan. 04, 2015, 07:24 PM",Main Account,0.05000000 BTC,13.43 USD,268.67 USD,0.05 USD,Buy
Market,"Jan. 04, 2015, 07:24 PM",Main Account,20.00000000 BTC,5373.40 USD,268.67 USD,16.13 USD,Buy
Market,"Jan. 04, 2015, 07:24 PM",Main Account,0.94552536 BTC,254.03 USD,268.67 USD,0.77 USD,Buy
Market,"Aug. 26, 2015, 07:46 PM",Main Account,6.52346691 BTC,1484.09 USD,227.50 USD,,Buy
Market,"Aug. 26, 2015, 07:47 PM",Main Account,0.03966500 BTC,9.02 USD,227.50 USD,,Buy
Market,"Aug. 26, 2015, 07:59 PM",Main Account,93.43686809 BTC,21256.89 USD,227.50 USD,,Buy
Market,"Oct. 29, 2015, 10:36 AM",Main Account,5.14116808 BTC,1592.48 USD,309.75 USD,3.99 USD,Sell
Market,"Oct. 29, 2015, 10:36 AM",Main Account,4.25000000 BTC,1316.44 USD,309.75 USD,3.30 USD,Sell
Market,"Oct. 29, 2015, 10:36 AM",Main Account,1.00000000 BTC,309.75 USD,309.75 USD,0.78 USD,Sell
Market,"Oct. 29, 2015, 10:37 AM",Main Account,0.32320000 BTC,100.11 USD,309.75 USD,0.26 USD,Sell
Market,"Oct. 29, 2015, 10:37 AM",Main Account,0.02161300 BTC,6.69 USD,309.75 USD,0.02 USD,Sell
Market,"Oct. 29, 2015, 10:37 AM",Main Account,4.20000000 BTC,1300.95 USD,309.75 USD,3.26 USD,Sell
Market,"Oct. 29, 2015, 10:37 AM",Main Account,19.90800000 BTC,6166.50 USD,309.75 USD,15.42 USD,Sell
Market,"Oct. 29, 2015, 10:37 AM",Main Account,1.14137470 BTC,353.54 USD,309.75 USD,0.89 USD,Sell
Market,"Oct. 29, 2015, 10:37 AM",Main Account,4.03000000 BTC,1248.29 USD,309.75 USD,3.13 USD,Sell
Market,"Oct. 29, 2015, 10:38 AM",Main Account,20.90400000 BTC,6475.01 USD,309.75 USD,16.19 USD,Sell
Market,"Oct. 29, 2015, 10:38 AM",Main Account,22.84100000 BTC,7075.00 USD,309.75 USD,17.69 USD,Sell
Market,"Oct. 29, 2015, 10:38 AM",Main Account,4.65000000 BTC,1440.34 USD,309.75 USD,3.46 USD,Sell
